column_id,publish_date,column_type,special_name,first_img_file_name,column_title
fbd2baa5e7ec0968e59377942740522937fce30fa83118f2678539f3c5f97401,2004-03-05,cover,,20040305_cover.png,
1b22ac83050a0f750b3c383c719171bb052230a7909f9dddafd6b84fa8eb8acb,2004-03-05,standard,,20040305_p1.png,"Hey, uh, ya'll, Let's talk sports!"
20919f19defa9c1680c49c94dc70c6ab4977587768de56a97b30af40134ede4a,2004-03-19,standard,,20040319_p1.png,Which is worse Pete ... or Barry?
9981cd68cf0028a2576e2070566601002cc669e5b1aa5e4f9bb8bb901b18039d,2004-04-02,standard,,20040402_p1.png,Final Four is great even if players aren't
063156ad5fcffb2dbdd52b398af8b7b833e938326a1fe043f237486e9236b9ce,2004-04-16,standard,,20040416_p1.png,Is Siegfried cursing Tiger?
2039c9655239166df3f370ed5287853fad7a975ac11707381a5f3cdfe3dc6d83,2004-04-30,standard,,20040430_p1.png,QB draft derby one big crap shoot
fffe25e1b8cd12f8aaf767a97bdaa99a93c4c9ebd391873b97e299c4152cfdfe,2004-05-14,standard,,20040514_p1.png,Dangit! How do race fans pick their guy?
fa52b6808f67e7316147730247b13855d0c618311ef2eb65dee972d2cf887fa5,2004-05-28,standard,,20040528_p1.png,O.J. chase was 10 years ago and nothing's changed!
c3edd2aaeaf9e47742a1bb744d6ab226f4ff93f5c70ea322d1d86802510995f4,2004-06-11,standard,,20040611_p1.png,Not-so-Smarty Jones and some other big losers
7b5056d63fedc0f509b0e94e4ecca23a33f5d948d6075e2df9610ac97a94a9ab,2004-06-25,standard,,20040625_p1.png,More questions than answers this week
85cc64ab7060216bdc6c6b1f1a6dd7db9557ced77fa8c800e71fbb52a1b69349,2004-07-09,standard,,20040709_p1.png,Next six weeks are crucial for sports fans
3be3b203b74c4cd42924fff41ee3a9a895fed2becaeb80d2b60c62a6c0b4c4ab,2004-07-23,standard,,20040723_p1.png,Charlotte sports gotta stay on the NY map
c1e4289f6f67c4ffdb772813fb59def5943a98f0beec53d305156ff5673c9ce6,2004-08-06,standard,,20040806_p1.png,Are Democrats as boring as fish?
96fc8a825545ce753a890e2a16ad4bedb42fbc3fabb17eb86f0985d9c21f9a40,2004-08-20,standard,,20040820_p1.png,TV football: it's all about the preparation
2919c1762ae54d3b351434cfee926c3ab7a4b2d239a9ed9fd15d6164d6bc01cd,2004-09-03,standard,,20040903_p1.png,"He'll tak another NFL helping, please"
465dda1fc85d59c3bc4b404c32a2438f8f73b86b817c3c00f30a9c3c13e3bc08,2004-09-17,standard,,20040917_p1.png,What a matchup: Me vs. Madden
873c9fb9eda9dceb980d86cad00067c9f6da26cc53e5a32a52bdf0e8d83d304d,2004-10-01,standard,,20041001_p1.png,Where are the real good teams in the NFL?
9cd9a9404afe21e03462cc2dce1a2fcb49ba0a49849da851630f96df0155b8ee,2004-10-29,standard,,20041029_p1.png,"Here's a new product for Bonds, BALCO"
0990d013413ca9ce617c32be66ab153d8b64d92e17306fc04f29ae45b1ee6728,2004-11-12,standard,,20041112_p1.png,Fire-proof coaches are the difference
f3982855d26f0a2f7eaa1fa533d2b32d2b0b60354284267feb6e703e75709684,2004-11-26,standard,,20041126_p1.png,Ron can rest his legs all season now
f2d5a9f6570aa66fcd94e7963eb7f5b322f1b480154aa8f5499e36c2f03d9e89,2004-12-10,standard,,20041210_p1.png,"Doh! #$%*@%! Stupid racists!"
13d5b3003f8f06a21f37497b4bfa379e90f45869bffb87486d8269a88d0df24e,2004-12-24,standard,,20041224_p1.png,Frankie's lament: Those 'darn stacked Eagles
88358156e4cde4a35d759dbfb098cffe651ec4fbf31c089a2742a195bc0586ed,2005-02-18,standard,,20050218_p1.png,Adopting an ACC team? Puke on Duke
81f159b1e5d59ab3cc24c7ffa6a7d13393986b1aa6573234db14d81a743927ac,2005-03-11,standard,,20050311_p1.png,Remote control spring training in one afternoon
43ff0f57c1bcc2c94fa0ee3177ff0708acdda2d5864481e4535fe06aab5f91fc,2005-03-25,standard,,20050325_p1.png,"March Madness, Weird fantasies"
4eeb065d540879e61eaf0c761730be285c9e8bad78ceee2aa5d9c2f14bdd0b55,2005-04-08,standard,,20050408_p1.png,How about my Tar Heels?
72fe528a0db0037b7b6bd76be25745c3ccce423d4a7d85540528898bd8164ef4,2005-04-22,standard,,20050422_p1.png,Not every NBA player is a thug
f49eb1a39d6e4c9fb4176b149498ec0d59fb49c27e71cbd7289fa92eded99706,2005-05-06,standard,,20050506_p1.png,"He's not Mel, but time will tell"
ef890b233b21af24279e34d5b1c719e96d127318f7cb27bc6e185cc104b5b6e6,2005-05-20,standard,,20050520_p1.png,"Of Shaq, Bo and golfers wearing shorts"
142a050d199e67d05a325420ba027d948c28dd1cd4c28dbd68e1039a9d12c78f,2005-06-03,standard,,20050603_p1.png,Fifth is fine for NBA draft
